Year,Round,BS,WS,BS_vs_WS,Seed_Diff,BS_Rev,BS_RankWins,BS_RankGames,BS_RankWinPct,WS_RankWins,WS_RankGames,WS_RankWinPct,BS_ScoMar,WS_ScoMar,ScoMar_Diff,BS_ATRatio,WS_ATRatio,ATRatio_Diff,BS_OppATRatio,WS_OppATRatio,OppATRatio_Diff,BS_ATRatioDiff_Ovr,WS_ATRatioDiff_Ovr,ATRatio_Diff_Ovr,BS_OffEff,WS_OffEff,OffEff_Diff,BS_DefEff,WS_DefEff,DefEff_Diff,BS_EffDiff_Ovr,WS_EffDiff_Ovr,EffDiff_Ovr
2015,2,Virginia,Michigan State,1,5,9954632,4,7,0.571,2,8,0.250,13.9,7.5,6.4,1.361,1.462,-0.101,0.863,0.983,-0.12,0.498,0.479,0.019,1.086,1.07,0.016,0.855,0.958,-0.103,0.231,0.112,0.119
2015,2,Duke,San Diego State,0,7,33772145,7,9,0.778,2,3,0.667,15.4,7.6,7.8,1.399,0.903,0.496,0.922,0.707,0.215,0.477,0.196,0.281,1.172,0.978,0.194,0.946,0.857,0.089,0.226,0.121,0.105
2015,2,Georgetown,Utah,1,1,10357033,3,6,0.500,1,5,0.200,5.7,13.6,-7.9,1.036,1.204,-0.168,0.841,0.76,0.081,0.195,0.444,-0.249,1.055,1.104,-0.049,0.971,0.893,0.078,0.084,0.211,-0.127
2015,2,UCLA,UAB,0,3,12228209,1,7,0.143,0,4,0.000,3.8,0.3,3.5,1.158,1.038,0.12,1.142,0.905,0.237,0.016,0.133,-0.117,1.036,0.983,0.053,0.981,0.978,0.003,0.055,0.005,0.05
2015,2,Gonzaga,Iowa,0,5,12185320,1,2,0.500,3,8,0.375,16,7.4,8.6,1.527,1.279,0.248,0.874,0.978,-0.104,0.653,0.301,0.352,1.161,1.046,0.115,0.922,0.935,-0.013,0.239,0.111,0.128
2015,3,Kentucky,West Virginia,0,4,24684543,6,6,1.000,4,12,0.333,20.1,5.8,14.3,1.359,1.091,0.268,0.564,0.6,-0.036,0.795,0.491,0.304,1.124,1.025,0.099,0.821,0.943,-0.122,0.303,0.082,0.221
2015,3,Notre Dame,Wichita State,0,4,3533991,6,8,0.750,1,3,0.333,12.2,11.9,0.3,1.618,1.437,0.181,1.099,0.677,0.422,0.519,0.76,-0.241,1.179,1.083,0.096,0.994,0.898,0.096,0.185,0.185,0
2015,3,Wisconsin,North Carolina,0,3,21309114,2,4,0.500,6,13,0.462,14.8,8.9,5.9,1.687,1.373,0.314,0.941,0.994,-0.053,0.746,0.379,0.367,1.191,1.086,0.105,0.948,0.962,-0.014,0.243,0.124,0.119
2015,3,Arizona,Xavier,0,4,19221755,4,4,1.000,6,9,0.667,16.9,5.9,11,1.26,1.333,-0.073,0.707,1.05,-0.343,0.553,0.283,0.27,1.124,1.077,0.047,0.875,0.989,-0.114,0.249,0.088,0.161
2015,3,Louisville,NC State,0,4,45835799,3,9,0.333,3,9,0.333,9.1,4.4,4.7,1.022,1.104,-0.082,0.836,1.221,-0.385,0.186,-0.117,0.303,1.026,1.052,-0.026,0.89,0.986,-0.096,0.136,0.066,0.07
